X	Y	Z	number of the return	number of returns of given pulse	intensity	classification
680994.630	5239999.880	971.830	1	1	118	2
680994.820	5239999.640	971.870	1	1	97	2
680995.030	5239999.370	971.930	1	1	130	2
680995.190	5239999.180	971.820	1	1	125	2
680995.360	5239998.960	971.790	1	1	108	2
680995.550	5239998.720	971.770	1	1	105	2
680995.700	5239998.540	971.670	1	1	96	2
680995.870	5239998.320	971.670	1	1	132	2
680996.040	5239998.100	971.640	1	1	120	2
680996.210	5239997.890	971.550	1	1	87	2
680996.380	5239997.680	971.500	1	1	100	2
680996.550	5239997.470	971.450	1	1	114	2
680996.740	5239997.230	971.440	1	1	104	2
680996.910	5239997.020	971.390	1	1	107	2
680997.070	5239996.810	971.360	1	1	123	2
680997.240	5239996.590	971.350	1	1	91	2
680997.450	5239996.330	971.390	1	1	83	2
680997.630	5239996.110	971.330	1	1	132	2
680997.780	5239995.910	971.290	1	1	98	2
680997.970	5239995.680	971.250	1	1	120	2
680998.140	5239995.460	971.220	1	1	118	2
680998.300	5239995.270	971.150	1	1	150	2
680998.470	5239995.050	971.150	1	1	123	2
680998.640	5239994.830	971.090	1	1	163	2
680998.820	5239994.610	971.030	1	1	144	2
680998.990	5239994.390	971.000	1	1	133	2
680999.180	5239994.160	971.010	1	1	137	2
680999.350	5239993.940	970.990	1	1	160	2
680999.520	5239993.720	970.950	1	1	128	2
680999.700	5239993.500	970.950	1	1	128	2
680999.860	5239993.290	970.890	1	1	116	2
680994.220	5239999.760	972.020	1	1	67	2
680994.390	5239999.550	971.900	1	1	102	2
680994.570	5239999.330	971.930	1	1	108	2
680994.750	5239999.100	971.880	1	1	101	2
680994.910	5239998.900	971.820	1	1	90	2
680995.080	5239998.680	971.800	1	1	100	2
680995.240	5239998.480	971.740	1	1	116	2
680995.410	5239998.270	971.650	1	1	128	2
680995.610	5239998.030	971.660	1	1	113	2
680995.770	5239997.820	971.620	1	1	110	2
680995.930	5239997.620	971.510	1	1	103	2
680996.110	5239997.400	971.480	1	1	113	2
680996.270	5239997.190	971.460	1	1	94	2
680996.450	5239996.970	971.460	1	1	88	2
680996.640	5239996.730	971.450	1	1	92	2
680996.810	5239996.510	971.390	1	1	86	2
680996.990	5239996.290	971.360	1	1	136	2
680997.160	5239996.070	971.350	1	1	130	2
680997.330	5239995.860	971.280	1	1	96	2
680997.500	5239995.640	971.270	1	1	97	2
680997.670	5239995.430	971.220	1	1	120	2
680997.840	5239995.220	971.180	1	1	160	2
680998.030	5239994.970	971.160	1	1	143	2
680998.190	5239994.780	971.100	1	1	114	2
680998.380	5239994.540	971.070	1	1	137	2
680998.540	5239994.340	971.050	1	1	141	2
680998.710	5239994.130	970.980	1	1	118	2
680998.880	5239993.920	970.970	1	1	123	2
680999.060	5239993.690	970.920	1	1	104	2
680999.250	5239993.430	970.970	1	1	124	2
680999.430	5239993.220	970.950	1	1	125	2
680999.620	5239992.970	970.940	1	1	98	2
680999.770	5239992.790	970.850	1	1	146	2
680999.930	5239992.590	970.800	1	1	105	2
680993.690	5239999.920	972.040	1	1	58	2
680993.840	5239999.720	971.980	1	1	81	2
680994.020	5239999.500	971.940	1	1	114	2
680994.200	5239999.280	971.920	1	1	124	2
680994.380	5239999.050	971.910	1	1	119	2
680994.540	5239998.850	971.870	1	1	112	2
680994.710	5239998.640	971.780	1	1	89	2
680994.900	5239998.400	971.780	1	1	112	2
680995.060	5239998.210	971.690	1	1	138	2
680995.230	5239998.000	971.620	1	1	115	2
680995.390	5239997.790	971.600	1	1	113	2
680995.560	5239997.570	971.560	1	1	111	2
680995.730	5239997.370	971.510	1	1	105	2
680995.910	5239997.130	971.490	1	1	90	2
680996.100	5239996.890	971.480	1	1	89	2
680996.270	5239996.680	971.430	1	1	101	2
680996.450	5239996.450	971.430	1	1	93	2
680996.630	5239996.220	971.410	1	1	115	2
680996.780	5239996.040	971.340	1	1	93	2
680996.960	5239995.820	971.300	1	1	118	2
680997.150	5239995.570	971.330	1	1	130	3
680997.320	5239995.350	971.270	1	1	119	2
680997.480	5239995.160	971.190	1	1	115	2
680997.650	5239994.950	971.130	1	1	114	2
680997.840	5239994.700	971.170	1	1	129	2
680998.000	5239994.500	971.120	1	1	130	2
680998.180	5239994.270	971.110	1	1	116	2
680998.350	5239994.060	971.050	1	1	144	2
680998.530	5239993.830	971.010	1	1	178	2
680998.680	5239993.640	970.920	1	1	104	2
680998.870	5239993.400	970.920	1	1	123	2
680999.050	5239993.180	970.930	1	1	124	2
680999.240	5239992.940	970.960	1	1	123	3
680999.390	5239992.750	970.880	1	1	132	2
680999.570	5239992.530	970.820	1	1	133	2
680999.740	5239992.320	970.760	1	1	105	2
680999.910	5239992.100	970.730	1	1	78	2
680993.370	5239999.880	972.120	1	1	54	3
680993.510	5239999.720	971.970	1	1	88	2
680993.690	5239999.500	971.960	1	1	103	2
680993.840	5239999.310	971.870	1	1	105	2
680994.030	5239999.080	971.850	1	1	125	2
680994.230	5239998.810	971.900	1	1	98	2
680994.390	5239998.610	971.830	1	1	110	2
680994.570	5239998.390	971.760	1	1	96	2
680994.730	5239998.190	971.730	1	1	107	2
680994.900	5239997.980	971.670	1	1	111	2
680995.050	5239997.790	971.600	1	1	93	2
680995.240	5239997.560	971.570	1	1	102	2
680995.410	5239997.330	971.550	1	1	111	2
680995.600	5239997.100	971.530	1	1	90	2
680995.770	5239996.890	971.470	1	1	85	2
680995.940	5239996.670	971.440	1	1	114	2
680996.120	5239996.450	971.470	1	1	103	2
680996.280	5239996.240	971.390	1	1	118	2
680996.470	5239996.000	971.400	1	1	138	2
680996.650	5239995.780	971.340	1	1	103	2
680996.800	5239995.590	971.280	1	1	110	2
680996.990	5239995.340	971.270	1	1	121	2
680997.160	5239995.130	971.230	1	1	120	2
680997.320	5239994.930	971.190	1	1	105	2
680997.500	5239994.710	971.170	1	1	129	2
680997.670	5239994.500	971.110	1	1	129	2
680997.860	5239994.260	971.090	1	1	116	2
680998.020	5239994.050	971.050	1	1	95	2
680998.200	5239993.830	971.000	1	1	86	2
680998.360	5239993.620	970.970	1	1	105	2
680998.540	5239993.400	970.940	1	1	120	2
680998.700	5239993.210	970.890	1	1	107	2
680998.900	5239992.950	970.920	1	1	133	2
680999.070	5239992.730	970.870	1	1	125	2
680999.250	5239992.500	970.860	1	1	134	2
680999.420	5239992.290	970.790	1	1	128	2
680999.580	5239992.080	970.780	1	1	106	2
680999.750	5239991.870	970.730	1	1	115	2
680999.910	5239991.670	970.690	1	1	102	2
680992.940	5239999.790	972.660	1	1	26	3
680993.150	5239999.500	972.770	1	1	38	3
680993.270	5239999.370	972.560	1	1	49	3
680993.420	5239999.210	972.370	1	1	43	3
680993.480	5239999.160	971.920	1	1	90	2
680993.630	5239998.970	971.830	1	1	98	2
680993.820	5239998.730	971.810	1	1	93	2
680994.000	5239998.510	971.790	1	1	90	2
680994.160	5239998.300	971.780	1	1	105	2
680994.330	5239998.090	971.740	1	1	110	2
680994.520	5239997.860	971.700	1	1	112	2
680994.690	5239997.640	971.620	1	1	118	2
680994.850	5239997.450	971.580	1	1	129	2
680995.030	5239997.210	971.550	1	1	98	2
680995.200	5239997.000	971.510	1	1	100	2
680995.380	5239996.770	971.510	1	1	94	2
680995.550	5239996.560	971.490	1	1	91	2
680995.740	5239996.320	971.470	1	1	136	2
680995.920	5239996.090	971.450	1	1	111	2
680996.090	5239995.880	971.390	1	1	133	2
680996.260	5239995.660	971.370	1	1	129	2
680996.420	5239995.460	971.290	1	1	111	2
680996.590	5239995.260	971.240	1	1	104	2
680996.770	5239995.020	971.260	1	1	104	2
680996.930	5239994.830	971.160	1	1	128	2
680997.110	5239994.600	971.120	1	1	126	2
680997.300	5239994.350	971.160	1	1	132	2
680997.460	5239994.160	971.060	1	1	130	2
680997.620	5239993.960	971.020	1	1	108	2
680997.800	5239993.730	971.000	1	1	102	2
680997.960	5239993.530	970.940	1	1	107	2
680998.150	5239993.300	970.920	1	1	130	2
680998.330	5239993.070	970.900	1	1	133	2
680998.500	5239992.840	970.890	1	1	101	2
680998.680	5239992.630	970.830	1	1	149	2
680998.860	5239992.400	970.850	1	1	116	2
680999.030	5239992.180	970.820	1	1	125	2
680999.200	5239991.970	970.800	1	1	120	2
680999.380	5239991.730	970.790	1	1	124	2
680999.550	5239991.530	970.710	1	1	115	2
680999.720	5239991.310	970.690	1	1	100	2
680999.900	5239991.100	970.620	1	1	91	2
680992.460	5239999.630	972.690	1	1	67	3
680992.740	5239999.250	973.010	1	1	39	3
680992.800	5239999.200	972.550	1	1	47	3
680992.910	5239999.080	972.320	1	1	49	3
680993.020	5239998.960	972.000	1	1	50	3
680993.170	5239998.790	971.890	1	1	92	3
680993.320	5239998.610	971.780	1	1	120	2
680993.490	5239998.390	971.780	1	1	82	2
680993.690	5239998.140	971.760	1	1	86	2
680993.870	5239997.910	971.760	1	1	106	2
680994.030	5239997.720	971.660	1	1	116	2
680994.210	5239997.480	971.660	1	1	113	2
680994.380	5239997.280	971.610	1	1	106	2
680994.550	5239997.050	971.580	1	1	124	2
680994.730	5239996.830	971.570	1	1	110	2
680994.920	5239996.590	971.570	1	1	82	2
680995.100	5239996.360	971.550	1	1	79	2
680995.290	5239996.110	971.590	1	1	110	2
680995.460	5239995.910	971.500	1	1	124	2
680995.610	5239995.720	971.410	1	1	95	2
680995.780	5239995.500	971.400	1	1	108	2
680995.990	5239995.230	971.510	1	1	82	3
680996.130	5239995.060	971.350	1	1	125	2
680996.300	5239994.850	971.260	1	1	125	2
680996.470	5239994.630	971.240	1	1	152	2
680996.660	5239994.390	971.220	1	1	138	2
680996.830	5239994.190	971.200	1	1	147	2
680996.980	5239994.000	971.110	1	1	102	2
680997.140	5239993.800	971.040	1	1	103	2
680997.310	5239993.600	970.950	1	1	77	2
680997.500	5239993.350	970.960	1	1	74	2
680997.660	5239993.160	970.910	1	1	88	2
680997.840	5239992.920	970.860	1	1	95	2
680998.010	5239992.710	970.860	1	1	126	2
680998.180	5239992.500	970.810	1	1	119	2
680998.360	5239992.270	970.830	1	1	120	2
