X	Y	Z	number of the return	number of returns of given pulse	intensity	classification
680888.130	5239920.970	968.970	1	1	81	2
680888.070	5239921.230	968.880	1	1	82	2
680888.000	5239921.520	968.890	1	1	89	2
680887.940	5239921.790	968.880	1	1	89	2
680887.870	5239922.100	968.930	1	1	68	2
680887.800	5239922.400	968.980	1	1	113	2
680887.730	5239922.690	969.030	1	1	112	2
680887.660	5239922.980	969.030	1	1	86	2
680887.600	5239923.260	969.040	1	1	100	2
680887.530	5239923.540	969.010	1	1	77	2
680887.470	5239923.830	969.050	1	1	85	2
680887.400	5239924.130	969.100	1	1	84	2
680887.330	5239924.430	969.110	1	1	103	2
680887.260	5239924.720	969.160	1	1	103	2
680887.190	5239925.020	969.170	1	1	88	2
680887.130	5239925.300	969.270	1	1	71	2
680887.060	5239925.610	969.540	1	1	38	2
680886.990	5239925.960	969.980	1	1	32	3
680886.930	5239926.220	969.780	1	1	78	3
680886.860	5239926.520	969.760	1	1	51	3
680886.790	5239926.800	969.740	1	1	49	3
680886.720	5239927.070	969.500	1	1	83	2
680886.660	5239927.330	969.430	1	1	60	2
680886.590	5239927.600	969.400	1	1	72	2
680886.530	5239927.880	969.400	1	1	59	2
680886.460	5239928.190	969.420	1	1	67	2
680886.390	5239928.490	969.470	1	1	85	2
680886.330	5239928.760	969.490	1	1	79	2
680886.250	5239929.070	969.490	1	1	91	2
680886.190	5239929.350	969.530	1	1	114	2
680886.130	5239929.630	969.530	1	1	107	2
680886.060	5239929.900	969.550	1	1	94	2
680885.990	5239930.210	969.590	1	1	95	2
680885.920	5239930.520	969.660	1	1	92	2
680885.860	5239930.790	969.740	1	1	96	2
680885.790	5239931.100	969.760	1	1	78	2
680885.720	5239931.380	969.730	1	1	72	2
680885.660	5239931.650	969.710	1	1	89	2
680885.590	5239931.920	969.730	1	1	105	2
680885.520	5239932.230	969.790	1	1	93	2
680885.450	5239932.530	969.800	1	1	123	2
680885.390	5239932.820	969.840	1	1	115	2
680885.270	5239935.870	993.310	1	2	34	5
680885.320	5239933.100	969.880	2	2	32	2
680885.200	5239936.130	993.110	1	2	7	5
680885.250	5239933.390	969.890	2	2	85	2
680885.130	5239936.590	994.770	1	2	22	5
680885.190	5239933.680	969.930	2	2	37	2
680885.090	5239935.880	986.500	1	2	11	5
680885.120	5239933.950	969.950	2	2	116	2
680885.020	5239936.170	986.450	1	2	35	5
680885.060	5239934.250	969.980	2	2	25	2
680884.960	5239936.050	982.920	1	2	19	5
680884.990	5239934.550	969.990	2	2	65	2
680884.900	5239936.320	982.900	1	2	35	5
680884.920	5239934.830	970.040	2	2	34	2
680884.830	5239936.970	986.090	1	2	22	5
680884.830	5239936.580	982.640	2	2	16	5
680884.760	5239937.230	986.020	1	1	54	5
680884.700	5239937.490	985.880	1	1	30	5
680884.630	5239938.440	991.830	1	2	31	5
680884.640	5239937.710	985.420	2	2	15	5
680884.560	5239938.700	991.620	1	2	26	5
680884.570	5239937.980	985.320	2	2	17	5
680884.500	5239938.260	985.250	1	1	49	5
680884.430	5239939.140	990.610	1	1	46	5
680884.360	5239939.660	992.710	1	1	35	5
680884.310	5239939.500	988.950	1	2	9	5
680884.310	5239938.840	982.990	2	2	16	5
680884.250	5239938.750	979.730	1	2	12	4
680884.260	5239937.710	970.320	2	2	86	2
680884.180	5239939.480	983.880	1	4	12	5
680884.180	5239939.240	981.700	2	4	21	5
680884.190	5239939.020	979.690	3	4	14	4
680884.190	5239937.990	970.350	4	4	12	2
680884.120	5239939.780	983.970	1	1	37	5
680884.050	5239940.080	984.070	1	1	51	5
680883.990	5239940.310	983.750	1	1	55	5
680883.920	5239940.590	983.570	1	2	26	5
680883.920	5239939.190	970.630	2	2	23	2
680883.850	5239941.340	988.070	1	2	14	5
680883.850	5239939.450	970.580	2	2	33	2
680883.790	5239940.630	978.940	1	2	20	4
680883.790	5239939.730	970.580	2	2	46	2
680883.730	5239941.610	985.620	1	2	9	5
680883.730	5239941.270	982.420	2	2	42	5
680883.660	5239941.880	985.350	1	3	29	5
680883.660	5239941.750	984.140	2	3	16	5
680883.660	5239941.560	982.310	3	3	27	5
680883.590	5239942.090	984.700	1	2	71	5
680883.590	5239941.910	982.970	2	2	18	5
680883.530	5239942.330	984.320	1	1	77	5
680883.460	5239942.720	985.330	1	1	56	5
680883.400	5239943.010	985.540	1	2	31	5
680883.400	5239942.840	983.830	2	2	29	5
680883.340	5239943.310	985.840	1	2	47	5
680883.340	5239943.090	983.730	2	2	11	5
680883.280	5239943.770	987.660	1	2	8	5
680883.270	5239943.580	985.830	2	2	32	5
680883.210	5239944.020	987.340	1	2	20	5
680883.210	5239943.820	985.350	2	2	25	5
680883.140	5239944.380	988.010	1	2	16	5
680883.140	5239944.240	986.630	2	2	12	5
680883.080	5239944.580	987.350	1	1	17	5
680883.010	5239944.820	986.840	1	1	24	5
680882.940	5239944.770	983.770	1	1	39	5
680882.880	5239945.060	984.030	1	1	36	5
680882.810	5239944.840	979.130	1	2	10	4
680882.810	5239944.610	976.770	2	2	18	4
680882.750	5239945.560	983.340	1	1	31	5
680882.680	5239945.880	983.690	1	1	25	5
680882.620	5239946.210	984.400	1	3	10	5
680882.620	5239945.840	980.670	2	3	16	4
680882.610	5239945.690	979.140	3	3	15	4
680882.550	5239946.540	984.600	1	1	32	5
680882.490	5239946.890	985.520	1	1	25	5
